iter	Accuracy	MultiClass
512	0.8165426908	0.4281890074
513	0.8166033312	0.4279803454
514	0.8167043984	0.4278642903
515	0.8167448254	0.4278154038
516	0.8167650388	0.4277730085
517	0.8168458926	0.4276597206
518	0.816906533	0.4276252721
519	0.8169267464	0.4275723322
520	0.8169267464	0.4275489172
521	0.8170076003	0.4273971626
522	0.8170480272	0.427369051
523	0.8170278137	0.4273397856
524	0.816906533	0.4272358689
525	0.8171490944	0.4271152654
526	0.8171086675	0.4271036011
527	0.8171693079	0.4270726216
528	0.8172905886	0.426932672
529	0.8172905886	0.4268550658
530	0.8172703752	0.4266934855
531	0.8172905886	0.4266452206
532	0.817351229	0.4266115795
533	0.8174725097	0.4265609754
534	0.8174927232	0.4264060233
535	0.8174522962	0.4262206452
536	0.8174522962	0.4261836852
537	0.8174522962	0.4261437402
538	0.8174927232	0.426127025
539	0.8174927232	0.4260884141
540	0.8175129366	0.4260082692
541	0.8175331501	0.4259610218
542	0.8174725097	0.4258045576
543	0.8174522962	0.4257711964
544	0.8175331501	0.4256830198
545	0.8175331501	0.4255481456
546	0.817573577	0.4253728656
547	0.8176140039	0.425336181
548	0.8175331501	0.4252498045
549	0.8175533635	0.4250998138
550	0.817573577	0.425067973
551	0.8175331501	0.4250331341
552	0.8176140039	0.4249255561
553	0.8176140039	0.4248514532
554	0.8177554981	0.4247761851
555	0.8176746442	0.4247004908
556	0.8178969922	0.4246090393
557	0.8178363519	0.4245452898
558	0.8178363519	0.4245342962
559	0.8177757115	0.4244391587
560	0.817795925	0.4243219854
561	0.8178363519	0.4242948856
562	0.8179172057	0.4242757523
563	0.8179374191	0.4242412902
564	0.8179374191	0.4242087325
565	0.8179374191	0.4242042178
566	0.8178969922	0.4241111326
567	0.8179576326	0.4240753977
568	0.8179778461	0.4239826727
569	0.8179980595	0.4239084694
570	0.8180789133	0.4237062049
571	0.8182204075	0.4236054345
572	0.8182204075	0.4235888554
573	0.818240621	0.4235481209
574	0.8181193402	0.4234319569
575	0.8182810479	0.4232822894
576	0.8183214748	0.4231594652
577	0.8185033959	0.4230331186
578	0.8186246766	0.4229826732
579	0.8188268111	0.4228970765
580	0.8188065977	0.4228649652
581	0.8187459573	0.4227879294
582	0.8187459573	0.4227588114
583	0.8189480918	0.4226202384
584	0.8189480918	0.4225841907
585	0.8189278784	0.4225753772
586	0.8189683053	0.422485907
587	0.8190087322	0.4224091145
588	0.8190087322	0.4223841567
589	0.8190289457	0.4223546822
590	0.8189885188	0.4221450806
591	0.8190491591	0.4221052267
592	0.8190491591	0.4220526634
593	0.8190289457	0.4219707447
594	0.8190491591	0.4219044966
595	0.8191704398	0.4217428854
596	0.819089586	0.4216331563
597	0.8191300129	0.4215783401
598	0.8191300129	0.4215375203
599	0.8190087322	0.4214923909
600	0.8190693726	0.421481304
601	0.8189683053	0.421402589
602	0.8189885188	0.421362755
603	0.8190693726	0.4212130576
604	0.8191300129	0.4211931247
605	0.8190289457	0.4210730206
606	0.8192108668	0.4210157922
607	0.8192108668	0.4209846345
608	0.8192108668	0.420954308
