iter	Passed	Remaining
592	4004	9502
593	4011	9495
594	4018	9488
595	4024	9480
596	4030	9473
597	4037	9466
598	4044	9459
599	4049	9449
600	4056	9442
601	4062	9434
602	4069	9427
603	4075	9419
604	4082	9412
605	4089	9406
606	4096	9400
607	4103	9394
608	4109	9386
609	4115	9378
610	4122	9370
611	4128	9362
612	4134	9355
613	4141	9349
614	4148	9343
615	4154	9334
616	4160	9325
617	4166	9317
618	4173	9311
619	4179	9303
620	4186	9296
621	4192	9288
622	4199	9281
623	4205	9273
624	4211	9265
625	4217	9257
626	4224	9250
627	4230	9242
628	4237	9235
629	4243	9227
630	4249	9219
631	4256	9213
632	4263	9206
633	4270	9200
634	4276	9193
635	4283	9187
636	4290	9181
637	4298	9175
638	4304	9167
639	4310	9160
640	4317	9153
641	4324	9147
642	4330	9140
643	4337	9133
644	4343	9125
645	4349	9117
646	4355	9109
647	4362	9102
648	4369	9096
649	4376	9089
650	4383	9082
651	4390	9076
652	4396	9069
653	4404	9064
654	4411	9057
655	4418	9051
656	4426	9047
657	4433	9041
658	4439	9033
659	4445	9026
660	4452	9018
661	4458	9012
662	4465	9004
663	4472	8998
664	4478	8990
665	4485	8983
666	4492	8977
667	4498	8970
668	4505	8964
669	4512	8957
670	4519	8951
671	4526	8944
672	4533	8938
673	4540	8931
674	4546	8924
675	4553	8918
676	4560	8911
677	4567	8905
678	4573	8898
679	4580	8891
680	4586	8883
681	4593	8876
682	4599	8869
683	4606	8862
684	4612	8855
685	4619	8848
686	4626	8841
687	4633	8835
688	4639	8828
689	4645	8820
690	4652	8813
691	4659	8807
692	4666	8800
693	4672	8792
694	4678	8785
695	4686	8779
696	4692	8771
697	4699	8765
698	4706	8759
699	4713	8752
700	4719	8746
701	4726	8739
702	4733	8733
703	4740	8726
704	4746	8718
705	4753	8711
706	4760	8705
707	4766	8697
708	4773	8691
709	4779	8684
710	4787	8678
711	4792	8670
712	4799	8663
713	4805	8654
714	4812	8648
715	4819	8642
716	4826	8635
717	4833	8629
718	4839	8622
719	4846	8616
720	4853	8609
721	4859	8602
722	4866	8594
723	4872	8587
724	4878	8579
725	4885	8573
726	4892	8567
727	4902	8565
728	4910	8561
729	4917	8554
730	4923	8547
731	4930	8541
732	4937	8535
733	4944	8528
734	4951	8522
735	4958	8515
736	4965	8509
737	4971	8502
738	4978	8495
739	4985	8488
740	4991	8481
741	4998	8475
742	5005	8468
743	5011	8460
744	5018	8453
745	5024	8446
746	5031	8439
747	5037	8431
748	5044	8424
749	5049	8416
750	5056	8409
751	5062	8401
752	5069	8395
753	5076	8388
754	5082	8380
755	5089	8374
756	5095	8367
757	5101	8359
758	5108	8351
759	5114	8344
760	5121	8337
761	5127	8330
762	5133	8323
763	5140	8315
764	5146	8308
765	5153	8301
766	5159	8294
767	5165	8286
768	5172	8279
769	5178	8272
770	5185	8265
771	5191	8258
772	5198	8251
773	5204	8244
774	5211	8236
775	5217	8230
776	5223	8222
777	5230	8215
778	5237	8208
779	5243	8200
780	5249	8193
781	5255	8185
782	5261	8178
783	5268	8171
784	5274	8163
785	5281	8157
786	5288	8150
787	5294	8142
788	5301	8137
789	5308	8130
790	5313	8122
791	5320	8114
792	5326	8107
793	5333	8100
794	5339	8092
795	5345	8085
796	5352	8078
797	5358	8071
798	5365	8065
799	5371	8057
800	5377	8050
801	5384	8042
802	5390	8035
803	5398	8029
804	5405	8023
805	5411	8017
806	5418	8009
807	5424	8002
808	5431	7995
809	5437	7988
810	5444	7981
811	5450	7974
812	5457	7967
813	5463	7959
814	5469	7953
815	5476	7946
816	5483	7939
817	5489	7932
818	5495	7924
819	5502	7917
820	5509	7911
821	5516	7905
822	5523	7898
823	5530	7892
824	5537	7886
825	5543	7879
826	5550	7873
827	5556	7864
828	5563	7858
829	5569	7851
830	5576	7844
831	5583	7837
832	5589	7830
833	5596	7824
834	5603	7817
835	5609	7811
836	5616	7804
837	5623	7797
838	5630	7791
839	5636	7784
840	5643	7778
841	5650	7770
842	5656	7763
843	5663	7757
844	5670	7750
845	5677	7743
846	5684	7737
847	5692	7733
848	5700	7727
849	5707	7721
850	5714	7715
851	5720	7708
852	5727	7702
853	5734	7694
854	5741	7689
855	5748	7682
856	5754	7675
857	5761	7667
858	5767	7660
859	5772	7652
860	5779	7645
861	5785	7638
862	5792	7631
863	5798	7624
864	5805	7617
865	5810	7609
866	5817	7602
867	5824	7595
868	5830	7588
869	5837	7581
870	5843	7574
871	5849	7567
872	5856	7560
873	5862	7553
874	5868	7545
875	5875	7538
876	5881	7531
877	5888	7525
878	5895	7518
879	5902	7512
880	5909	7505
881	5915	7498
882	5922	7492
883	5929	7485
884	5937	7480
885	5944	7474
886	5950	7467
887	5957	7460
888	5964	7453
889	5970	7446
890	5977	7440
891	5984	7433
892	5991	7427
893	5997	7419
894	6004	7412
895	6010	7406
896	6017	7399
897	6024	7392
898	6030	7385
899	6037	7378
900	6043	7371
901	6050	7365
902	6056	7357
903	6063	7351
904	6069	7344
905	6076	7337
906	6083	7331
907	6091	7325
908	6097	7317
909	6104	7311
910	6110	7304
911	6117	7298
912	6123	7290
913	6129	7283
914	6135	7275
915	6141	7268
916	6148	7261
917	6154	7254
918	6160	7247
919	6167	7240
920	6173	7232
921	6180	7226
922	6186	7218
923	6192	7211
924	6199	7204
925	6204	7196
926	6211	7189
927	6217	7182
928	6224	7175
929	6229	7167
930	6236	7160
931	6242	7153
932	6249	7146
933	6255	7139
934	6262	7132
935	6268	7126
936	6274	7118
937	6281	7111
938	6288	7105
939	6294	7098
940	6301	7091
941	6308	7084
942	6314	7078
943	6321	7071
944	6328	7064
945	6334	7057
946	6340	7050
947	6347	7043
948	6353	7036
949	6360	7029
950	6366	7023
951	6373	7015
952	6379	7009
953	6386	7002
954	6392	6994
955	6398	6987
956	6404	6980
957	6411	6973
958	6417	6966
959	6424	6959
960	6431	6953
961	6437	6946
962	6444	6939
963	6450	6932
964	6457	6925
965	6462	6917
966	6468	6909
967	6474	6902
968	6481	6896
969	6489	6890
970	6496	6884
971	6503	6877
972	6510	6871
973	6516	6864
974	6523	6857
975	6530	6851
976	6536	6844
977	6543	6838
978	6550	6831
979	6557	6825
980	6563	6818
981	6570	6811
982	6577	6805
983	6584	6799
984	6592	6793
985	6599	6787
986	6605	6779
987	6613	6773
988	6619	6767
989	6626	6760
